39.757371|-121.843286|206114
41.3014|-72.902871|845241
33.876366|-84.380400|985056
32.204411|-110.878067|137590
39.064289|-108.56155|786821
34.949147|-120.43763|650553
39.739444|-75.558056|861071
40.71528|-124.20139|275795
33.47968|-111.91721|91388
25.621667|-80.345278|933364
40.423432|-104.69479|795445
34.1326|-118.1272|380684
39.57768|-75.6036|853562
34.427775|-119.691218|649745
32.1912|-110.840582|167797
32.20739|-110.910619|146277
41.821342|-73.297257|837280
34.17605|-118.31712|328672
32.79222|-115.56306|292175
33.56033|-112.06626|72585
36.785322|-119.774174|245492
33.687976|-84.290484|976471
33.63713|-112.34184|120271
34.10688|-117.27411|593038
26.128247|-80.167454|890590
38.443503|-122.710169|714639
37.348497|-121.894898|690196
41.170833|-73.194722|804149
34.38344|-118.5284|408486
40.882222|-106.306111|769338
28.596111|-81.362709|959119
37.814781|-122.282347|197783
30.309113|-81.652338|898999
33.41045|-111.86507|70414
33.687970|-84.290480|976485
30.305239|-81.705375|907591
25.683335|-80.400003|941956
33.529444|-86.850278|5125
25.798709|-80.210048|950436
30.308541|-81.705580|918957
34.10002|-117.49201|584906
38.895572|-76.958072|876896
61.215027|-149.903111|39964
30.308535|-81.705577|918956
28.596389|-81.362500|959121
30.305000|-81.705556|907603
39.751184|-104.987625|746439
33.687862|-84.290557|976483
33.92513|-117.95264|474057
36.841389|-119.874444|252566
34.14435|-117.85036|312408
28.596394|-81.362503|959107
27.965350|-82.230588|924706
35.331302|-119.000974|300468
33.83062|-117.93845|449706
33.63003|-117.67593|465848
30.308296|-81.705757|918960
39.761538|-121.84162|209283
39.838119|-104.94984|738562
34.1365|-117.92391|304338
33.9508|-118.43043|400369
25.683330|-80.400000|941970
36.781333|-119.77319|245098
32.791194|-116.942092|600848
41.769167|-72.670278|820643
37.743065|-122.169935|189564
34.671394|-118.131456|416368
33.94603|-117.40063|481558
36.69676|-121.637182|433005
30.308879|-81.652524|898997
33.85275|-116.54101|489616
37.13678|-107.62863|770433
37.936013|-122.026154|212112
61.205861|-149.824602|31222
38.61|-121.38|544247
33.876475|-84.380331|985044
38.650783|-121.506767|552791
33.8025|-118.22|395657
33.99958|-117.41601|497694
33.45793|-112.04601|82710
37.318435|-122.069705|697984
34.06703|-117.7514|372557
34.756189|-92.281296|172122
32.676186|-115.484144|284214
34.01194|-118.06995|364666
32.701492|-117.149653|616927
33.928500|-85.045340|993625
41.118333|-73.336667|812465
33.503833|-112.095767|130405
61.191514|-149.93493|35591
33.37005|-112.6207|125336
37.641583|-120.994622|722981
38.903889|-77.046389|868184
33.565278|-86.796389|22488
33.29898|-111.88431|110197
33.995638|-117.493304|512797
33.901389|-118.205|356598
27.892500|-82.680556|967793
64.84569|-147.727413|53082
34.596111|-120.630278|682027
38.921847|-77.013178|885340
64.845278|-147.721111|48708
34.510014|-117.331433|569191
40.57747|-105.07892|778195
37.97231|-122.520004|424642
25.798333|-80.210278|950448
27.965645|-82.230397|924708
37.482934|-122.20337|641455
27.892801|-82.680378|967781
30.320268|-81.687801|910509
37.9604|-122.356811|228820
33.46093|-112.11748|96444
33.67649|-117.33098|520608
34.48974|-120.04692|657641
38.830895|-104.839243|760730
34.05111|-118.45636|320493
39.704005|-104.998113|755118
33.876469|-84.380327|985058
32.29515|-110.9823|159164
33.553056|-86.815|2
36.819111|-119.717356|260248
61.3267|-149.569707|44336
33.485556|-86.915|13865
40.776944|-124.1775|268224
41.784722|-72.631667|829173
37.765946|-122.399044|624948
33.82376|-118.18921|387804
33.928398|-85.045394|993623
38.71209|-121.38109|528703
38.102507|-122.237976|706351
34.06659|-118.22688|336791
30.320501|-81.687617|910516
36.705506|-119.741966|237161
26.128611|-80.167222|890592
32.0475|-110.773889|154793
30.320507|-81.687620|910505
26.128616|-80.167225|890578
34.63782|-120.4575|665644
33.48385|-112.14257|61728
33.4124|-111.93473|115259
37.950741|-121.268523|633152
33.127711|-117.075325|608892
38.613779|-121.368014|536448
34.895007|-117.024484|560849
38.006311|-121.641918|220456
38.310942|-122.296189|441366
33.57454|-112.19196|77648
33.40316|-112.07533|105140
27.965650|-82.230400|924694
34.10374|-117.62914|577053
37.487981|-120.837005|731243
34.44551|-119.8284|673756
25.682949|-80.400224|941968
34.19925|-118.53276|348413
33.928506|-85.045344|993611
33.67464|-117.92568|457889
30.309119|-81.652341|898985
